,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Namibe,AO,-15.1961,12.1522,77.63,69,75,14.97,broken clouds
141,Puerto Carreno,CO,6.189,-67.4859,78.12,80,96,2.21,overcast clouds
142,Manta,EC,-0.95,-80.7333,71.38,83,90,12.66,overcast clouds
143,Hithadhoo,MV,-0.6,73.0833,82.56,67,100,4.25,light rain
144,Bandarbeyla,SO,9.4942,50.8122,76.39,81,5,29.66,clear sky
145,Zhangjiakou,CN,40.81,114.8794,71.29,60,6,5.73,clear sky
146,Ust-Ishim,RU,57.6935,71.1665,64.74,97,94,4.45,overcast clouds
147,Swan Hill,AU,-35.3378,143.5544,51.87,65,100,2.82,overcast clouds
148,Hasaki,JP,35.7333,140.8333,79.2,90,100,9.44,light rain
149,Cidreira,BR,-30.1811,-50.2056,68.09,68,14,10.18,few clouds
150,Coolum Beach,AU,-26.5333,153.1,56.07,89,1,5.66,clear sky
151,Pinega,RU,64.7001,43.3936,64.71,53,92,4.36,overcast clouds
152,Yarmouth,US,41.7057,-70.2286,86.25,78,1,7.0,clear sky
153,Orlovskiy,RU,46.8714,42.0592,99.77,18,89,12.59,overcast clouds
154,Edd,ER,13.9297,41.6925,91.96,65,28,13.96,scattered clouds
155,Pakxan,LA,18.3778,103.6601,79.57,86,100,1.92,overcast clouds
156,Tilichiki,RU,60.4667,166.1,47.82,86,100,8.05,overcast clouds
157,Carlisle,US,40.2015,-77.1889,82.17,67,100,4.14,overcast clouds
158,Mahebourg,MU,-20.4081,57.7,70.09,68,75,6.91,broken clouds
159,Buchanan,LR,5.8808,-10.0467,81.9,66,61,10.11,broken clouds
160,Kirakira,SB,-10.4544,161.9205,77.02,83,100,6.93,overcast clouds
161,Westport,US,41.1415,-73.3579,85.35,61,1,1.01,clear sky
162,Fairbanks,US,64.8378,-147.7164,60.1,93,90,1.01,light rain
163,Narsaq,GL,60.9167,-46.05,52.02,69,100,0.67,overcast clouds
164,Ghanzi,BW,-21.5667,21.7833,81.3,12,0,7.87,clear sky
165,Katherine,AU,-14.4667,132.2667,61.12,36,73,5.75,broken clouds
166,North Bend,US,43.4065,-124.2243,62.94,100,90,3.44,mist
167,Faanui,PF,-16.4833,-151.75,77.9,69,94,9.24,overcast clouds
168,Salalah,OM,17.0151,54.0924,76.82,90,100,7.18,overcast clouds
169,Santa Maria,BR,-29.6842,-53.8069,76.3,50,0,13.8,clear sky
170,Algiers,DZ,36.7525,3.042,87.62,48,40,8.05,scattered clouds
171,Dingle,PH,10.9995,122.6711,77.38,88,19,4.83,light rain
172,Xuddur,SO,4.1213,43.8894,87.19,32,75,18.12,broken clouds
173,Suntar,RU,62.1444,117.6319,59.49,95,100,5.5,moderate rain
174,Verkhnetulomskiy,RU,68.6073,31.7962,73.53,44,54,2.66,broken clouds
175,Marzuq,YE,14.4,46.4667,90.25,34,9,12.44,clear sky
176,Kaspiysk,RU,42.8816,47.6392,87.98,58,0,17.9,clear sky
177,Kamenka,RU,51.3223,42.7678,87.04,25,78,9.71,broken clouds
178,Envira,BR,-7.3,-70.2167,91.33,29,0,2.21,clear sky
179,Danane,CI,7.2596,-8.155,88.27,39,90,4.61,overcast clouds
180,Port Elizabeth,ZA,-33.918,25.5701,67.1,77,0,10.36,clear sky
181,Rio Grande,BR,-32.035,-52.0986,72.95,71,0,9.84,clear sky
182,Kailua,US,21.4022,-157.7394,76.98,71,20,12.66,few clouds
183,Benguela,AO,-12.5763,13.4055,76.39,71,23,8.01,few clouds
184,Coquimbo,CL,-29.9533,-71.3436,55.13,76,75,6.91,broken clouds
185,Abu Zabad,SD,12.35,29.25,79.59,62,100,9.46,overcast clouds
186,Morondava,MG,-20.2833,44.2833,74.7,66,3,14.5,clear sky
187,Urusha,RU,54.05,122.9,57.99,98,100,5.79,overcast clouds
188,Caconda,AO,-13.7333,15.0667,81.88,9,5,6.64,clear sky
189,Chokurdakh,RU,70.6333,147.9167,46.76,79,6,7.72,clear sky
190,Emerald,AU,-23.5333,148.1667,55.54,38,0,5.75,clear sky
191,Geraldton,AU,-28.7667,114.6,66.61,94,90,17.27,overcast clouds
192,Portland,US,45.5234,-122.6762,67.86,81,40,3.0,scattered clouds
193,Teonthar,IN,24.9833,81.65,85.39,76,100,6.6,moderate rain
194,Sakaiminato,JP,35.55,133.2333,80.58,83,20,5.75,few clouds
195,Saint-Philippe,RE,-21.3585,55.7679,71.19,75,57,12.95,broken clouds
196,Kodiak,US,57.79,-152.4072,52.11,86,100,2.53,overcast clouds
197,Sidi Ali,DZ,36.0998,0.4206,83.12,47,24,17.25,few clouds
198,Mercedes,AR,-34.6515,-59.4307,72.86,56,8,7.83,clear sky
199,Buala,SB,-8.145,159.5921,78.67,77,98,2.53,overcast clouds
200,Palmas Bellas,PA,9.2319,-80.0867,82.31,85,98,6.2,overcast clouds
201,Brae,GB,60.3964,-1.353,62.51,89,100,25.37,overcast clouds
202,San Patricio,US,28.017,-97.5169,87.87,64,3,9.95,clear sky
203,Palmer,US,42.1584,-72.3287,84.38,64,90,0.0,overcast clouds
204,Bambous Virieux,MU,-20.3428,57.7575,70.05,68,75,6.91,broken clouds
205,Cherskiy,RU,68.75,161.3,50.45,56,100,5.97,overcast clouds
206,Mar Del Plata,AR,-38.0023,-57.5575,55.42,100,90,12.66,mist
207,Kedrovyy,RU,56.1667,91.8167,61.21,74,81,2.15,broken clouds
208,San Fernando De Henares,ES,40.4239,-3.5326,87.17,24,0,7.0,clear sky
209,Ribeira Grande,PT,38.5167,-28.7,73.8,56,40,11.5,scattered clouds
210,Puerto Colombia,CO,10.9878,-74.9547,84.29,67,59,5.73,broken clouds
211,Yangambi,CD,0.8102,24.4336,77.61,67,94,2.42,overcast clouds
212,Mantua,IT,45.1667,10.7833,93.09,57,52,5.99,broken clouds
213,High Rock,BS,26.6208,-78.2833,86.02,68,3,11.86,clear sky
214,Richards Bay,ZA,-28.783,32.0377,67.21,67,1,6.31,clear sky
215,Vao,NC,-22.6667,167.4833,67.51,61,100,9.37,moderate rain
216,Cabo San Lucas,MX,22.8909,-109.9124,85.51,72,89,7.61,overcast clouds
217,Bowen,AU,-20.0167,148.2333,55.62,82,1,11.41,clear sky
218,Ponta Delgada,PT,37.7333,-25.6667,75.92,53,40,13.8,scattered clouds
219,Atambua,ID,-9.1061,124.8925,68.29,77,43,5.84,scattered clouds
220,Yar-Sale,RU,66.8333,70.8333,69.71,67,9,1.19,clear sky
221,Evensk,RU,61.95,159.2333,55.31,86,100,13.4,overcast clouds
222,Castro,BR,-24.7911,-50.0119,66.0,59,97,7.2,overcast clouds
223,Guerrero Negro,MX,27.9769,-114.0611,72.93,75,3,6.93,clear sky
224,Joshimath,IN,30.5667,79.5667,71.26,94,99,1.9,overcast clouds
225,Pisco,PE,-13.7,-76.2167,62.65,72,90,2.3,overcast clouds
226,Kousseri,CM,12.0769,15.0306,87.76,58,75,8.05,light rain
227,Arinos,BR,-15.9169,-46.1056,76.73,36,100,7.78,overcast clouds
228,Severo-Kurilsk,RU,50.6789,156.125,53.28,86,97,14.29,overcast clouds
229,Korem,ET,12.5058,39.5228,64.53,68,8,5.06,moderate rain
230,Neiafu,TO,-18.65,-173.9833,75.16,59,57,14.14,broken clouds
231,Tuatapere,NZ,-46.1333,167.6833,35.82,94,100,1.36,overcast clouds
232,Ancud,CL,-41.8697,-73.8203,45.43,66,86,4.59,overcast clouds
233,Souillac,MU,-20.5167,57.5167,70.18,68,75,6.91,broken clouds
234,Kawalu,ID,-7.3817,108.2082,72.63,98,22,1.19,few clouds
235,Lorengau,PG,-2.0226,147.2712,79.56,80,46,6.78,moderate rain
236,Namtsy,RU,62.7161,129.6658,66.31,47,13,11.54,few clouds
237,Terni,IT,42.6833,12.3167,89.98,35,0,16.08,clear sky
238,Constitucion,CL,-35.3333,-72.4167,55.38,69,54,8.66,broken clouds
239,Tessalit,ML,20.1986,1.0114,106.63,15,100,8.88,overcast clouds
240,Katangli,RU,51.7102,143.2326,52.99,85,97,11.16,overcast clouds
241,Karonga,MW,-9.9333,33.9333,74.75,61,3,6.93,clear sky
242,Zhigansk,RU,66.7697,123.3711,61.32,49,91,10.04,overcast clouds
243,Sherbrooke,CA,45.4001,-71.8991,80.13,61,75,4.61,broken clouds
244,Vila,PT,42.0304,-8.1588,66.7,56,37,9.98,scattered clouds
245,Tenenkou,ML,14.4572,-4.9169,86.49,56,99,14.29,overcast clouds
246,Tura,IN,25.5198,90.2201,74.88,98,100,5.37,overcast clouds
247,Svetlogorsk,BY,52.6333,29.7333,64.27,72,96,11.18,overcast clouds
248,El Alto,PE,-4.2714,-81.2147,62.26,65,61,11.86,broken clouds
249,Abalak,RU,58.1286,68.5944,59.52,99,100,5.59,overcast clouds
250,La Ronge,CA,55.1001,-105.2842,66.42,88,40,3.44,scattered clouds
251,Kahului,US,20.8947,-156.47,75.22,76,1,11.5,clear sky
252,Saint-Georges,GD,12.0564,-61.7485,85.68,70,40,13.8,scattered clouds
253,Teacapan,MX,22.55,-105.75,80.96,81,100,1.07,overcast clouds
254,Coihaique,CL,-45.5752,-72.0662,40.95,75,75,4.61,light rain
255,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,60,99,13.44,light rain
256,Moindou,NC,-21.6924,165.677,60.75,72,100,1.59,overcast clouds
257,Crossville,US,35.949,-85.0269,78.1,77,40,1.99,scattered clouds
258,Nuuk,GL,64.1835,-51.7216,43.47,82,100,8.43,overcast clouds
259,Benjamin Hill,MX,30.1667,-111.1,80.17,76,80,7.63,broken clouds
260,Yerbogachen,RU,61.2767,108.0108,54.19,62,96,5.35,overcast clouds
261,Dori,BF,14.0354,-0.0345,98.29,33,6,11.01,clear sky
262,Codrington,AU,-38.2667,141.9667,47.66,83,90,5.59,overcast clouds
263,Krasnoselkup,RU,65.7,82.4667,70.38,56,17,6.46,few clouds
264,Labrea,BR,-7.2586,-64.7981,96.91,23,0,2.1,clear sky
265,Bengkulu,ID,-3.8004,102.2655,77.7,88,17,3.44,few clouds
266,Dikson,RU,73.5069,80.5464,50.09,70,14,10.04,few clouds
267,Kendari,ID,-3.945,122.4989,74.57,88,100,3.02,overcast clouds
268,Loikaw,MM,19.6742,97.2094,69.48,95,82,2.95,broken clouds
269,Vagay,RU,57.9375,69.0217,60.17,98,100,5.73,overcast clouds
270,Albion,US,42.2431,-84.753,74.98,89,90,4.61,moderate rain
271,Broken Hill,AU,-31.95,141.4333,47.91,66,0,8.05,clear sky
272,Avarua,CK,-21.2078,-159.775,73.45,88,20,4.61,few clouds
273,Unai,BR,-16.3575,-46.9061,74.84,39,100,9.4,overcast clouds
274,Nemuro,JP,43.3236,145.575,69.13,96,2,5.75,clear sky
275,Mayumba,GA,-3.432,10.6554,74.01,81,100,9.19,overcast clouds
276,Gamba,GA,-2.65,10.0,75.51,76,100,8.93,overcast clouds
277,Sakakah,SA,29.9697,40.2064,105.37,10,2,14.07,clear sky
278,Vagur,FO,61.4732,-6.8119,55.26,86,100,29.53,overcast clouds
279,Boyolangu,ID,-8.1181,111.8935,75.33,95,37,2.08,scattered clouds
